sym,sym href,slw,sl,svelte-eurwtr
STKH,https://stockanalysis.com/stocks/stkh/,Steakholder Foods Ltd.,Packaged Foods,57.68K
STKL,https://stockanalysis.com/stocks/stkl/,SunOpta Inc.,Packaged Foods,744.04M
STKS,https://stockanalysis.com/stocks/stks/,"The ONE Group Hospitality, Inc.",Restaurants,116.80M
STLA,https://stockanalysis.com/stocks/stla/,Stellantis N.V.,Auto Manufacturers,48.51B
STLD,https://stockanalysis.com/stocks/stld/,"Steel Dynamics, Inc.",Steel,18.37B
STM,https://stockanalysis.com/stocks/stm/,STMicroelectronics N.V.,Semiconductors,28.19B
STN,https://stockanalysis.com/stocks/stn/,Stantec Inc.,Engineering & Construction,9.45B
STNE,https://stockanalysis.com/stocks/stne/,StoneCo Ltd.,Software - Infrastructure,4.36B
STNG,https://stockanalysis.com/stocks/stng/,Scorpio Tankers Inc.,Oil & Gas Midstream,3.54B
STOK,https://stockanalysis.com/stocks/stok/,"Stoke Therapeutics, Inc.",Biotechnology,779.19M
STR,https://stockanalysis.com/stocks/str/,Sitio Royalties Corp.,Oil & Gas Exploration & Production,1.78B
STRA,https://stockanalysis.com/stocks/stra/,"Strategic Education, Inc.",Education & Training Services,2.35B
STRL,https://stockanalysis.com/stocks/strl/,"Sterling Infrastructure, Inc.",Engineering & Construction,3.53B
STRM,https://stockanalysis.com/stocks/strm/,"Streamline Health Solutions, Inc.",Health Information Services,35.78M
STRO,https://stockanalysis.com/stocks/stro/,"Sutro Biopharma, Inc.",Biotechnology,373.75M
STRR,https://stockanalysis.com/stocks/strr/,"Star Equity Holdings, Inc.",Diagnostics & Research,14.23M
STRS,https://stockanalysis.com/stocks/strs/,Stratus Properties Inc.,Real Estate - Diversified,191.11M
STRT,https://stockanalysis.com/stocks/strt/,Strattec Security Corporation,Auto Parts,160.17M
STRW,https://stockanalysis.com/stocks/strw/,"Strawberry Fields REIT, Inc.",REIT - Healthcare Facilities,80.83M
STSS,https://stockanalysis.com/stocks/stss/,"Sharps Technology, Inc.",Medical Instruments & Supplies,7.14M
STT,https://stockanalysis.com/stocks/stt/,State Street Corporation,Asset Management,24.13B
STTK,https://stockanalysis.com/stocks/sttk/,"Shattuck Labs, Inc.",Biotechnology,163.70M
STVN,https://stockanalysis.com/stocks/stvn/,Stevanato Group S.p.A.,Medical Instruments & Supplies,5.24B
STWD,https://stockanalysis.com/stocks/stwd/,"Starwood Property Trust, Inc.",REIT - Mortgage,6.35B
STX,https://stockanalysis.com/stocks/stx/,Seagate Technology Holdings plc,Computer Hardware,21.95B
STXS,https://stockanalysis.com/stocks/stxs/,"Stereotaxis, Inc.",Medical Instruments & Supplies,187.09M
STZ,https://stockanalysis.com/stocks/stz/,"Constellation Brands, Inc.",Beverages - Brewers,44.59B
SU,https://stockanalysis.com/stocks/su/,Suncor Energy Inc.,Oil & Gas Integrated,51.18B
SUGP,https://stockanalysis.com/stocks/sugp/,SU Group Holdings Limited,Security & Protection Services,25.25M
SUI,https://stockanalysis.com/stocks/sui/,"Sun Communities, Inc.",REIT - Residential,16.49B
SUM,https://stockanalysis.com/stocks/sum/,"Summit Materials, Inc.",Building Materials,6.86B
SUN,https://stockanalysis.com/stocks/sun/,Sunoco LP,Oil & Gas Refining & Marketing,7.24B
SUNS,https://stockanalysis.com/stocks/suns/,"Sunrise Realty Trust, Inc.",REIT - Mortgage,91.00M
SUP,https://stockanalysis.com/stocks/sup/,"Superior Industries International, Inc.",Auto Parts,103.70M
SUPN,https://stockanalysis.com/stocks/supn/,"Supernus Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,1.91B
SUPV,https://stockanalysis.com/stocks/supv/,Grupo Supervielle S.A.,Banks - Regional,890.06M
SURG,https://stockanalysis.com/stocks/surg/,"SurgePays, Inc.",Software - Application,36.53M
SUUN,https://stockanalysis.com/stocks/suun/,SolarBank Corporation,Utilities - Renewable,137.62M
SUZ,https://stockanalysis.com/stocks/suz/,Suzano S.A.,Paper & Paper Products,12.84B
SVC,https://stockanalysis.com/stocks/svc/,Service Properties Trust,REIT - Hotel & Motel,741.53M
SVCO,https://stockanalysis.com/stocks/svco/,"Silvaco Group, Inc.",Software - Application,439.11M
SVII,https://stockanalysis.com/stocks/svii/,Spring Valley Acquisition Corp. II,Shell Companies,249.72M
SVM,https://stockanalysis.com/stocks/svm/,Silvercorp Metals Inc.,Silver,841.40M
SVMH,https://stockanalysis.com/stocks/svmh/,SRIVARU Holding Limited,Auto Manufacturers,4.89M
SVRA,https://stockanalysis.com/stocks/svra/,Savara Inc.,Biotechnology,737.41M
SVRE,https://stockanalysis.com/stocks/svre/,SaverOne 2014 Ltd.,Scientific & Technical Instruments,6.11M
SVT,https://stockanalysis.com/stocks/svt/,"Servotronics, Inc.",Aerospace & Defense,29.54M
SVV,https://stockanalysis.com/stocks/svv/,"Savers Value Village, Inc.",Specialty Retail,1.58B
SW,https://stockanalysis.com/stocks/sw/,Smurfit Westrock Plc,Packaging & Containers,22.86B
SWAG,https://stockanalysis.com/stocks/swag/,"Stran & Company, Inc.",Advertising Agencies,22.51M
SWBI,https://stockanalysis.com/stocks/swbi/,"Smith & Wesson Brands, Inc.",Aerospace & Defense,671.23M
SWI,https://stockanalysis.com/stocks/swi/,SolarWinds Corporation,Software - Infrastructure,2.12B
SWIM,https://stockanalysis.com/stocks/swim/,"Latham Group, Inc.",Building Products & Equipment,679.59M
SWIN,https://stockanalysis.com/stocks/swin/,Solowin Holdings,Capital Markets,42.83M
SWK,https://stockanalysis.com/stocks/swk/,"Stanley Black & Decker, Inc.",Tools & Accessories,15.19B
SWKH,https://stockanalysis.com/stocks/swkh/,SWK Holdings Corporation,Asset Management,215.84M
SWKS,https://stockanalysis.com/stocks/swks/,"Skyworks Solutions, Inc.",Semiconductors,17.23B
SWN,https://stockanalysis.com/stocks/swn/,Southwestern Energy Company,Oil & Gas Exploration & Production,6.86B
SWTX,https://stockanalysis.com/stocks/swtx/,"SpringWorks Therapeutics, Inc.",Biotechnology,2.93B
SWVL,https://stockanalysis.com/stocks/swvl/,Swvl Holdings Corp.,Software - Application,47.95M
SWX,https://stockanalysis.com/stocks/swx/,"Southwest Gas Holdings, Inc.",Utilities - Regulated Gas,5.14B
SXC,https://stockanalysis.com/stocks/sxc/,"SunCoke Energy, Inc.",Coking Coal,739.17M
SXI,https://stockanalysis.com/stocks/sxi/,Standex International Corporation,Specialty Industrial Machinery,2.09B
SXT,https://stockanalysis.com/stocks/sxt/,Sensient Technologies Corporation,Specialty Chemicals,3.15B
SXTC,https://stockanalysis.com/stocks/sxtc/,"China SXT Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,3.27M
SXTP,https://stockanalysis.com/stocks/sxtp/,"60 Degrees Pharmaceuticals, Inc.",Biotechnology,3.38M
SY,https://stockanalysis.com/stocks/sy/,So-Young International Inc.,Health Information Services,94.10M
SYBT,https://stockanalysis.com/stocks/sybt/,"Stock Yards Bancorp, Inc.",Banks - Regional,1.68B
SYBX,https://stockanalysis.com/stocks/sybx/,"Synlogic, Inc.",Biotechnology,17.43M
SYF,https://stockanalysis.com/stocks/syf/,Synchrony Financial,Credit Services,18.67B
SYK,https://stockanalysis.com/stocks/syk/,Stryker Corporation,Medical Devices,131.59B
SYM,https://stockanalysis.com/stocks/sym/,Symbotic Inc.,Specialty Industrial Machinery,2.58B
SYNA,https://stockanalysis.com/stocks/syna/,Synaptics Incorporated,Semiconductors,3.09B
SYNX,https://stockanalysis.com/stocks/synx/,Silynxcom Ltd.,Communication Equipment,14.12M
SYPR,https://stockanalysis.com/stocks/sypr/,"Sypris Solutions, Inc.",Auto Parts,37.91M
SYRA,https://stockanalysis.com/stocks/syra/,Syra Health Corp.,Medical Care Facilities,17.22M
SYRE,https://stockanalysis.com/stocks/syre/,"Spyre Therapeutics, Inc.",Biotechnology,1.35B
SYRS,https://stockanalysis.com/stocks/syrs/,"Syros Pharmaceuticals, Inc.",Biotechnology,45.84M
SYT,https://stockanalysis.com/stocks/syt/,"SYLA Technologies Co., Ltd.",Software - Application,39.37M
SYTA,https://stockanalysis.com/stocks/syta/,Siyata Mobile Inc.,Communication Equipment,1.54M
SYY,https://stockanalysis.com/stocks/syy/,Sysco Corporation,Food Distribution,37.93B
T,https://stockanalysis.com/stocks/t/,AT&T Inc.,Telecom Services,140.11B
TAC,https://stockanalysis.com/stocks/tac/,TransAlta Corporation,Utilities - Independent Power Producers,2.54B
TACT,https://stockanalysis.com/stocks/tact/,TransAct Technologies Incorporated,Computer Hardware,47.99M
TAIT,https://stockanalysis.com/stocks/tait/,Taitron Components Incorporated,Electronics & Computer Distribution,17.58M
TAK,https://stockanalysis.com/stocks/tak/,Takeda Pharmaceutical Company Limited,Drug Manufacturers - Specialty & Generic,47.63B
TAL,https://stockanalysis.com/stocks/tal/,TAL Education Group,Education & Training Services,5.28B
TALK,https://stockanalysis.com/stocks/talk/,"Talkspace, Inc.",Health Information Services,299.42M
TALO,https://stockanalysis.com/stocks/talo/,Talos Energy Inc.,Oil & Gas Exploration & Production,2.06B
TANH,https://stockanalysis.com/stocks/tanh/,Tantech Holdings Ltd,Household & Personal Products,1.22M
TAOP,https://stockanalysis.com/stocks/taop/,Taoping Inc.,Software - Infrastructure,2.43M
TAP,https://stockanalysis.com/stocks/tap/,Molson Coors Beverage Company,Beverages - Brewers,11.04B
TAP.A,https://stockanalysis.com/stocks/tap.a/,Molson Coors Beverage Company,Beverages - Brewers,11.05B
TARA,https://stockanalysis.com/stocks/tara/,"Protara Therapeutics, Inc.",Biotechnology,44.35M
TARS,https://stockanalysis.com/stocks/tars/,"Tarsus Pharmaceuticals, Inc.",Biotechnology,992.13M
TASK,https://stockanalysis.com/stocks/task/,"TaskUs, Inc.",Information Technology Services,1.22B
TATT,https://stockanalysis.com/stocks/tatt/,TAT Technologies Ltd.,Aerospace & Defense,146.58M
TAYD,https://stockanalysis.com/stocks/tayd/,"Taylor Devices, Inc.",Specialty Industrial Machinery,155.12M
TBBB,https://stockanalysis.com/stocks/tbbb/,BBB Foods Inc.,Discount Stores,3.20B
TBBK,https://stockanalysis.com/stocks/tbbk/,"The Bancorp, Inc.",Banks - Regional,2.40B
TBI,https://stockanalysis.com/stocks/tbi/,"TrueBlue, Inc.",Staffing & Employment Services,229.97M
TBIO,https://stockanalysis.com/stocks/tbio/,"Telesis Bio, Inc.",Medical Devices,6.44M
TBLA,https://stockanalysis.com/stocks/tbla/,Taboola.com Ltd.,Internet Content & Information,1.10B
TBMC,https://stockanalysis.com/stocks/tbmc/,Trailblazer Merger Corporation I,Shell Companies,97.86M
TBN,https://stockanalysis.com/stocks/tbn/,Tamboran Resources Corporation,Oil & Gas Exploration & Production,326.47M
TBNK,https://stockanalysis.com/stocks/tbnk/,Territorial Bancorp Inc.,Banks - Regional,80.98M
TBPH,https://stockanalysis.com/stocks/tbph/,"Theravance Biopharma, Inc.",Biotechnology,393.33M
TBRG,https://stockanalysis.com/stocks/tbrg/,"TruBridge, Inc.",Health Information Services,175.81M
TC,https://stockanalysis.com/stocks/tc/,TuanChe Limited,Internet Content & Information,3.43M
TCBI,https://stockanalysis.com/stocks/tcbi/,"Texas Capital Bancshares, Inc.",Banks - Regional,2.84B
TCBK,https://stockanalysis.com/stocks/tcbk/,TriCo Bancshares,Banks - Regional,1.41B
TCBP,https://stockanalysis.com/stocks/tcbp/,TC Biopharm (Holdings) Plc,Biotechnology,2.13M
TCBS,https://stockanalysis.com/stocks/tcbs/,"Texas Community Bancshares, Inc.",Banks - Regional,40.46M
TCBX,https://stockanalysis.com/stocks/tcbx/,"Third Coast Bancshares, Inc.",Banks - Regional,310.20M
TCI,https://stockanalysis.com/stocks/tci/,"Transcontinental Realty Investors, Inc.",Real Estate Services,257.37M
TCJH,https://stockanalysis.com/stocks/tcjh/,Top KingWin Ltd,Capital Markets,3.31M
TCMD,https://stockanalysis.com/stocks/tcmd/,"Tactile Systems Technology, Inc.",Medical Devices,304.38M
TCOA,https://stockanalysis.com/stocks/tcoa/,Zalatoris Acquisition Corp.,Shell Companies,117.54M
TCOM,https://stockanalysis.com/stocks/tcom/,Trip.com Group Limited,Travel Services,27.99B
TCPC,https://stockanalysis.com/stocks/tcpc/,BlackRock TCP Capital Corp.,Asset Management,777.17M
TCRT,https://stockanalysis.com/stocks/tcrt/,"Alaunos Therapeutics, Inc.",Biotechnology,4.13M
TCRX,https://stockanalysis.com/stocks/tcrx/,"TScan Therapeutics, Inc.",Biotechnology,312.02M
TCS,https://stockanalysis.com/stocks/tcs/,"The Container Store Group, Inc.",Specialty Retail,49.70M
TCTM,https://stockanalysis.com/stocks/tctm/,TCTM Kids IT Education Inc.,Education & Training Services,8.29M
TCX,https://stockanalysis.com/stocks/tcx/,Tucows Inc.,Software - Infrastructure,239.54M
TD,https://stockanalysis.com/stocks/td/,The Toronto-Dominion Bank,Banks - Diversified,103.63B
TDC,https://stockanalysis.com/stocks/tdc/,Teradata Corporation,Software - Infrastructure,2.70B
TDG,https://stockanalysis.com/stocks/tdg/,TransDigm Group Incorporated,Aerospace & Defense,73.71B
TDOC,https://stockanalysis.com/stocks/tdoc/,"Teladoc Health, Inc.",Health Information Services,1.26B
TDS,https://stockanalysis.com/stocks/tds/,"Telephone and Data Systems, Inc.",Telecom Services,2.38B
TDUP,https://stockanalysis.com/stocks/tdup/,ThredUp Inc.,Internet Retail,88.91M
TDW,https://stockanalysis.com/stocks/tdw/,Tidewater Inc.,Oil & Gas Equipment & Services,4.52B
TDY,https://stockanalysis.com/stocks/tdy/,Teledyne Technologies Incorporated,Scientific & Technical Instruments,19.59B
TEAM,https://stockanalysis.com/stocks/team/,Atlassian Corporation,Software - Application,41.17B
TECH,https://stockanalysis.com/stocks/tech/,Bio-Techne Corporation,Biotechnology,11.45B
TECK,https://stockanalysis.com/stocks/teck/,Teck Resources Limited,Other Industrial Metals & Mining,25.43B
TECX,https://stockanalysis.com/stocks/tecx/,"Tectonic Therapeutic, Inc.",Biotechnology,239.44M
TEF,https://stockanalysis.com/stocks/tef/,"Telefónica, S.A.",Telecom Services,25.36B
TEL,https://stockanalysis.com/stocks/tel/,TE Connectivity Ltd.,Electronic Components,46.41B
TELA,https://stockanalysis.com/stocks/tela/,"TELA Bio, Inc.",Medical Devices,74.14M
TELL,https://stockanalysis.com/stocks/tell/,Tellurian Inc.,Oil & Gas Exploration & Production,839.24M
TELO,https://stockanalysis.com/stocks/telo/,"Telomir Pharmaceuticals, Inc.",Biotechnology,161.08M
TEM,https://stockanalysis.com/stocks/tem/,"Tempus AI, Inc",Diagnostics & Research,11.03B
TEN,https://stockanalysis.com/stocks/ten/,Tsakos Energy Navigation Limited,Oil & Gas Midstream,719.94M
TENB,https://stockanalysis.com/stocks/tenb/,"Tenable Holdings, Inc.",Software - Infrastructure,5.09B
TENX,https://stockanalysis.com/stocks/tenx/,"Tenax Therapeutics, Inc.",Biotechnology,14.39M
TEO,https://stockanalysis.com/stocks/teo/,Telecom Argentina S.A.,Telecom Services,4.32B
TER,https://stockanalysis.com/stocks/ter/,"Teradyne, Inc.",Semiconductor Equipment & Materials,22.10B
TERN,https://stockanalysis.com/stocks/tern/,"Terns Pharmaceuticals, Inc.",Biotechnology,554.53M
TETE,https://stockanalysis.com/stocks/tete/,Technology & Telecommunication Acquisition Corporation,Shell Companies,76.99M
TEVA,https://stockanalysis.com/stocks/teva/,Teva Pharmaceutical Industries Limited,Drug Manufacturers - Specialty & Generic,20.54B
TEX,https://stockanalysis.com/stocks/tex/,Terex Corporation,Farm & Heavy Construction Machinery,3.63B
TFC,https://stockanalysis.com/stocks/tfc/,Truist Financial Corporation,Banks - Regional,56.36B
TFFP,https://stockanalysis.com/stocks/tffp/,"TFF Pharmaceuticals, Inc.",Biotechnology,7.21M
TFII,https://stockanalysis.com/stocks/tfii/,TFI International Inc.,Trucking,12.41B
TFIN,https://stockanalysis.com/stocks/tfin/,"Triumph Financial, Inc.",Banks - Regional,1.93B
TFPM,https://stockanalysis.com/stocks/tfpm/,Triple Flag Precious Metals Corp.,Other Precious Metals & Mining,3.28B
TFSL,https://stockanalysis.com/stocks/tfsl/,TFS Financial Corporation,Banks - Regional,3.65B
TFX,https://stockanalysis.com/stocks/tfx/,Teleflex Incorporated,Medical Instruments & Supplies,11.23B
TG,https://stockanalysis.com/stocks/tg/,Tredegar Corporation,Metal Fabrication,193.53M
TGAA,https://stockanalysis.com/stocks/tgaa/,Target Global Acquisition I Corp.,Shell Companies,80.76M
TGB,https://stockanalysis.com/stocks/tgb/,Taseko Mines Limited,Copper,665.01M
TGI,https://stockanalysis.com/stocks/tgi/,"Triumph Group, Inc.",Aerospace & Defense,1.03B
TGL,https://stockanalysis.com/stocks/tgl/,Treasure Global Inc.,Software - Application,1.46M
TGLS,https://stockanalysis.com/stocks/tgls/,Tecnoglass Inc.,Building Materials,2.79B
TGNA,https://stockanalysis.com/stocks/tgna/,TEGNA Inc.,Broadcasting,2.25B
TGS,https://stockanalysis.com/stocks/tgs/,Transportadora de Gas del Sur S.A.,Oil & Gas Integrated,3.97B
TGT,https://stockanalysis.com/stocks/tgt/,Target Corporation,Discount Stores,73.67B
TGTX,https://stockanalysis.com/stocks/tgtx/,"TG Therapeutics, Inc.",Biotechnology,3.60B
TH,https://stockanalysis.com/stocks/th/,Target Hospitality Corp.,Specialty Business Services,972.18M
THAR,https://stockanalysis.com/stocks/thar/,"Tharimmune, Inc.",Biotechnology,3.27M
THC,https://stockanalysis.com/stocks/thc/,Tenet Healthcare Corporation,Medical Care Facilities,15.16B
THCH,https://stockanalysis.com/stocks/thch/,TH International Limited,Restaurants,113.44M
THCP,https://stockanalysis.com/stocks/thcp/,Thunder Bridge Capital Partners IV Inc.,Shell Companies,99.70M
THFF,https://stockanalysis.com/stocks/thff/,First Financial Corporation,Banks - Regional,495.48M
THG,https://stockanalysis.com/stocks/thg/,"The Hanover Insurance Group, Inc.",Insurance - Property & Casualty,4.85B
THM,https://stockanalysis.com/stocks/thm/,International Tower Hill Mines Ltd.,Gold,108.76M
THO,https://stockanalysis.com/stocks/tho/,"THOR Industries, Inc.",Recreational Vehicles,5.51B
THR,https://stockanalysis.com/stocks/thr/,"Thermon Group Holdings, Inc.",Specialty Industrial Machinery,1.01B
THRD,https://stockanalysis.com/stocks/thrd/,"Third Harmonic Bio, Inc.",Biotechnology,492.76M
THRM,https://stockanalysis.com/stocks/thrm/,Gentherm Incorporated,Auto Parts,1.59B
THRY,https://stockanalysis.com/stocks/thry/,"Thryv Holdings, Inc.",Internet Content & Information,662.17M
THS,https://stockanalysis.com/stocks/ths/,"TreeHouse Foods, Inc.",Packaged Foods,2.07B
THTX,https://stockanalysis.com/stocks/thtx/,Theratechnologies Inc.,Biotechnology,60.24M
TIGO,https://stockanalysis.com/stocks/tigo/,Millicom International Cellular S.A.,Telecom Services,4.33B
TIGR,https://stockanalysis.com/stocks/tigr/,UP Fintech Holding Limited,Capital Markets,623.22M
TIL,https://stockanalysis.com/stocks/til/,"Instil Bio, Inc.",Biotechnology,76.13M
TILE,https://stockanalysis.com/stocks/tile/,"Interface, Inc.",Building Products & Equipment,1.02B
TIMB,https://stockanalysis.com/stocks/timb/,TIM S.A.,Telecom Services,8.11B
TIPT,https://stockanalysis.com/stocks/tipt/,Tiptree Inc.,Insurance - Specialty,692.75M
TIRX,https://stockanalysis.com/stocks/tirx/,Tian Ruixiang Holdings Ltd,Insurance Brokers,4.60M
TISI,https://stockanalysis.com/stocks/tisi/,"Team, Inc.",Specialty Business Services,45.50M
TITN,https://stockanalysis.com/stocks/titn/,Titan Machinery Inc.,Industrial Distribution,314.07M
TIVC,https://stockanalysis.com/stocks/tivc/,"Tivic Health Systems, Inc.",Medical Devices,2.10M
TIXT,https://stockanalysis.com/stocks/tixt/,TELUS International (Cda) Inc.,Software - Infrastructure,972.36M
TJX,https://stockanalysis.com/stocks/tjx/,"The TJX Companies, Inc.",Apparel Retail,135.88B
TK,https://stockanalysis.com/stocks/tk/,Teekay Corporation,Oil & Gas Midstream,724.59M
TKC,https://stockanalysis.com/stocks/tkc/,Turkcell Iletisim Hizmetleri A.S.,Telecom Services,6.32B
TKLF,https://stockanalysis.com/stocks/tklf/,"Yoshitsu Co., Ltd",Specialty Retail,27.07M
TKNO,https://stockanalysis.com/stocks/tkno/,"Alpha Teknova, Inc.",Drug Manufacturers - Specialty & Generic,275.58M
TKO,https://stockanalysis.com/stocks/tko/,"TKO Group Holdings, Inc.",Entertainment,9.70B
TKR,https://stockanalysis.com/stocks/tkr/,The Timken Company,Tools & Accessories,5.84B
TLF,https://stockanalysis.com/stocks/tlf/,"Tandy Leather Factory, Inc.",Specialty Retail,34.87M
TLGY,https://stockanalysis.com/stocks/tlgy/,TLGY Acquisition Corporation,Shell Companies,109.25M
TLIS,https://stockanalysis.com/stocks/tlis/,Talis Biomedical Corporation,Medical Devices,8.07M
TLK,https://stockanalysis.com/stocks/tlk/,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Telecom Services,18.99B
TLN,https://stockanalysis.com/stocks/tln/,Talen Energy Corporation,Utilities - Independent Power Producers,7.09B
TLPH,https://stockanalysis.com/stocks/tlph/,"Talphera, Inc.",Drug Manufacturers - Specialty & Generic,15.48M
TLRY,https://stockanalysis.com/stocks/tlry/,"Tilray Brands, Inc.",Drug Manufacturers - Specialty & Generic,1.59B
TLS,https://stockanalysis.com/stocks/tls/,Telos Corporation,Software - Infrastructure,263.74M
TLSA,https://stockanalysis.com/stocks/tlsa/,Tiziana Life Sciences Ltd,Biotechnology,127.91M
TLSI,https://stockanalysis.com/stocks/tlsi/,"TriSalus Life Sciences, Inc.",Medical Devices,162.39M
TLYS,https://stockanalysis.com/stocks/tlys/,"Tilly's, Inc.",Apparel Retail,147.70M
TM,https://stockanalysis.com/stocks/tm/,Toyota Motor Corporation,Auto Manufacturers,249.46B
TMC,https://stockanalysis.com/stocks/tmc/,TMC the metals company Inc.,Other Industrial Metals & Mining,349.91M
TMCI,https://stockanalysis.com/stocks/tmci/,"Treace Medical Concepts, Inc.",Medical Devices,404.24M
TMDX,https://stockanalysis.com/stocks/tmdx/,"TransMedics Group, Inc.",Medical Devices,5.77B
TME,https://stockanalysis.com/stocks/tme/,Tencent Music Entertainment Group,Internet Content & Information,16.52B
TMHC,https://stockanalysis.com/stocks/tmhc/,Taylor Morrison Home Corporation,Residential Construction,6.77B
TMO,https://stockanalysis.com/stocks/tmo/,Thermo Fisher Scientific Inc.,Diagnostics & Research,233.08B
TMP,https://stockanalysis.com/stocks/tmp/,Tompkins Financial Corporation,Banks - Regional,828.94M
TMQ,https://stockanalysis.com/stocks/tmq/,Trilogy Metals Inc.,Other Industrial Metals & Mining,82.72M
TMTC,https://stockanalysis.com/stocks/tmtc/,TMT Acquisition Corp,Shell Companies,90.19M
TMUS,https://stockanalysis.com/stocks/tmus/,"T-Mobile US, Inc.",Telecom Services,228.06B
TNC,https://stockanalysis.com/stocks/tnc/,Tennant Company,Specialty Industrial Machinery,1.78B
TNDM,https://stockanalysis.com/stocks/tndm/,"Tandem Diabetes Care, Inc.",Medical Devices,2.80B
TNET,https://stockanalysis.com/stocks/tnet/,"TriNet Group, Inc.",Staffing & Employment Services,4.75B
TNFA,https://stockanalysis.com/stocks/tnfa/,"TNF Pharmaceuticals, Inc.",Biotechnology,4.24M
TNGX,https://stockanalysis.com/stocks/tngx/,"Tango Therapeutics, Inc.",Biotechnology,1.11B
TNK,https://stockanalysis.com/stocks/tnk/,Teekay Tankers Ltd.,Oil & Gas Midstream,1.90B
TNL,https://stockanalysis.com/stocks/tnl/,Travel + Leisure Co.,Travel Services,3.00B
TNON,https://stockanalysis.com/stocks/tnon/,"Tenon Medical, Inc.",Medical Devices,1.98M
TNXP,https://stockanalysis.com/stocks/tnxp/,Tonix Pharmaceuticals Holding Corp.,Biotechnology,7.92M
TNYA,https://stockanalysis.com/stocks/tnya/,"Tenaya Therapeutics, Inc.",Biotechnology,229.57M
TOI,https://stockanalysis.com/stocks/toi/,"The Oncology Institute, Inc.",Medical Care Facilities,26.13M
TOL,https://stockanalysis.com/stocks/tol/,"Toll Brothers, Inc.",Residential Construction,14.24B
TOMZ,https://stockanalysis.com/stocks/tomz/,"TOMI Environmental Solutions, Inc.",Pollution & Treatment Controls,18.21M
TOON,https://stockanalysis.com/stocks/toon/,Kartoon Studios Inc.,Entertainment,36.90M
TOP,https://stockanalysis.com/stocks/top/,TOP Financial Group Limited,Capital Markets,79.63M
TOPS,https://stockanalysis.com/stocks/tops/,Top Ships Inc.,Oil & Gas Midstream,42.00M
TORO,https://stockanalysis.com/stocks/toro/,Toro Corp.,Marine Shipping,63.76M
TOST,https://stockanalysis.com/stocks/tost/,"Toast, Inc.",Software - Infrastructure,13.61B
TOUR,https://stockanalysis.com/stocks/tour/,Tuniu Corporation,Travel Services,105.99M
TOVX,https://stockanalysis.com/stocks/tovx/,"Theriva Biologics, Inc.",Biotechnology,3.27M
TOWN,https://stockanalysis.com/stocks/town/,TowneBank,Banks - Regional,2.42B
TOYO,https://stockanalysis.com/stocks/toyo/,"TOYO Co., Ltd",Solar,234.62M
TPB,https://stockanalysis.com/stocks/tpb/,"Turning Point Brands, Inc.",Tobacco,700.95M
TPC,https://stockanalysis.com/stocks/tpc/,Tutor Perini Corporation,Engineering & Construction,1.13B
TPCS,https://stockanalysis.com/stocks/tpcs/,TechPrecision Corporation,Metal Fabrication,35.30M
TPET,https://stockanalysis.com/stocks/tpet/,Trio Petroleum Corp.,Oil & Gas Exploration & Production,12.32M
TPG,https://stockanalysis.com/stocks/tpg/,TPG Inc.,Asset Management,5.09B
TPH,https://stockanalysis.com/stocks/tph/,"Tri Pointe Homes, Inc.",Residential Construction,4.08B
TPIC,https://stockanalysis.com/stocks/tpic/,"TPI Composites, Inc.",Specialty Industrial Machinery,186.41M
TPL,https://stockanalysis.com/stocks/tpl/,Texas Pacific Land Corporation,Oil & Gas Exploration & Production,18.97B
TPR,https://stockanalysis.com/stocks/tpr/,"Tapestry, Inc.",Luxury Goods,9.47B
TPST,https://stockanalysis.com/stocks/tpst/,"Tempest Therapeutics, Inc.",Biotechnology,37.31M
TPVG,https://stockanalysis.com/stocks/tpvg/,TriplePoint Venture Growth BDC Corp.,Asset Management,304.44M
TPX,https://stockanalysis.com/stocks/tpx/,"Tempur Sealy International, Inc.","Furnishings, Fixtures & Appliances",8.99B
TR,https://stockanalysis.com/stocks/tr/,"Tootsie Roll Industries, Inc.",Confectioners,2.03B
TRAK,https://stockanalysis.com/stocks/trak/,"ReposiTrak, Inc.",Software - Application,333.13M
TRAW,https://stockanalysis.com/stocks/traw/,"Traws Pharma, Inc.",Biotechnology,9.26M
TRC,https://stockanalysis.com/stocks/trc/,Tejon Ranch Co.,Conglomerates,471.13M
TRDA,https://stockanalysis.com/stocks/trda/,"Entrada Therapeutics, Inc.",Biotechnology,579.18M
TREE,https://stockanalysis.com/stocks/tree/,"LendingTree, Inc.",Financial Conglomerates,696.49M
TREX,https://stockanalysis.com/stocks/trex/,"Trex Company, Inc.",Building Products & Equipment,7.11B
TRGP,https://stockanalysis.com/stocks/trgp/,Targa Resources Corp.,Oil & Gas Midstream,31.18B
TRI,https://stockanalysis.com/stocks/tri/,Thomson Reuters Corporation,Specialty Business Services,73.55B
TRIB,https://stockanalysis.com/stocks/trib/,Trinity Biotech plc,Medical Devices,21.06M
TRIN,https://stockanalysis.com/stocks/trin/,Trinity Capital Inc.,Credit Services,757.33M
TRIP,https://stockanalysis.com/stocks/trip/,"Tripadvisor, Inc.",Travel Services,2.00B
TRMB,https://stockanalysis.com/stocks/trmb/,Trimble Inc.,Scientific & Technical Instruments,13.79B
